"Catàleg","Àmbit d’actuació   ","Nom acció formativa","Nombre places","Durada hora","Edicions previstes","Personal Destinatari 1","Personal Destinatari 2","Personal Destinatari 3","Personal Destinatari 4","Personal Destinatari 5","Objectius"
"TRANSVERSAL - 2022","Actualització normativa"," Procediment administratiu. Actualitzat amb les lleis 39/2015 i 40/2015)",40.00,30.00,8.00,,,,,,"Conèixer les eines procedimentals bàsiques que contenen les lleis 39/2015 i 40/2015, d'1 d'octubre, de procediment administratiu"
"TRANSVERSAL - 2022","Actualització normativa"," Propietat intel·lectual - Llicències Creative Commons",45.00,15.00,2.00,,,,,,"Conèixer la legislació sobre propietat intel·lectual, les pautes d'actuació en matèria de drets d'autor i com treballar amb llic"
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," Curació de continguts",45.00,15.00,3.00,,,,,,"Aprendre a cercar, filtrar, seleccionar i extreure la informació que necessites a la xarxa sense perdre temps"
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," Excel 2010 (nivell mitjà)",45.00,25.00,1.00,,,,,,"Aprendre les funcionalitat del programari informàtic de fulls de càlcul Excel 2010, a nivell d'usuari/a intermedi."
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," Excel: treball amb macros",45.00,10.00,2.00,,,,,,"Aprendre a crear macros bàsiques i avançades."
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," MICROFORMACIÓ: Com crear plantilles i formularis amb Word",25.00,2.00,5.00,,,,,,"Conèixer les possibilitats de creació de plantilles i formularis per a documents de Word per automatitzar i generar continguts d"
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," MICROFORMACIÓ: Com crear taules dinàmiques amb Excel",25.00,2.00,3.00,,,,,,"Conèixer les possibilitats de les taules dinàmiques per a la gestió i manipulació de llistats de dades amb Excel."
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," MICROFORMACIÓ: Com fer tutorials de vídeo senzills",25.00,2.00,3.00,,,,,,"Conèixer l’estructura, els tipus i les característiques pròpies d’un videotutorial. Explicar les funcionalitats bàsiques d’algun"
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," MICROFORMACIÓ: Com optimitzar l'ús de l'Outlook",25.00,2.00,10.00,,,,,,"Conèixer diferents tècniques i utilitats per millorar i optimitzar el temps que dediquem a gestionar el nostre correu electrònic"
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," MICROFORMACIÓ: Com treballar de forma col·laborativa en entorns virtuals",30.00,2.00,3.00,,,,,,"Conèixer el concepte i les característiques associades al treball col•laboratiu. Saber com es gestionen les carpetes,arxius i do"
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," MICROFORMACIÓ: Presenta les teves dades amb visualitzacions d'impacte",21.00,2.00,3.00,,,,,,"Prendre consciència de la importància del valor de les dades i la seva visualització. Conèixer aspectes bàsics per a fer una bon"
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," Presentacions amb Powerpoint",45.00,10.00,1.00,,,,,,"Aprofundir en les funcions avançades de PowerPoint per aconseguir transmetre els nostres missatges amb major eficiència."
"TRANSVERSAL - 2022","Administració electrònica i tecnologies de la informació"," Word 2010 (nivell mitjà)",45.00,25.00,4.00,,,,,,"Aprendre les funcionalitats del programari informàtic de processador de textos Word 2010, a nivell d'usuari intermedi."
"TRANSVERSAL - 2022","Capacitats i habilitats de comandament"," El rol del comandament en el desenvolupament de les persones del seu equip",50.00,10.00,1.00,,,,,,"Conèixer tècniques,eines i estratègies per facilitar que les persones el nostre equip desenvolupin el màxim del seu potencial."
"TRANSVERSAL - 2022","Desenvolupament competencial"," Com defensar idees: aprenent a debatre",45.00,10.00,2.00,,,,,,"Aprendre a definir i estructurar idees per a que adquireixin més solidesa i aprendre a refutar idees descobrint els punts febles"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Com fer front a noves situacions",45.00,10.00,2.00,,,,,,"Desenvolupar la capacitat d'adquirir una perspectiva més oberta per saber adaptar-se al canvi"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Com incrementar l'autoconfiança",45.00,10.00,1.00,,,,,,"Conèixer tècniques i eines per identificar les nostres fortaleses i àrees de millora i aprendre a mostrar-se segur d'un mateix"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Comunicació no violenta",50.00,15.00,2.00,,,,,,"Conèixer les quatre fases del model de Marshall B. Rosenberg per entendre els fonaments que fan que les persones es comuniquin e"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Comunicar en públic: habilitats i continguts",50.00,15.00,1.00,,,,,,"Desenvolupar les habilitats per comunicar amb eficàcia, tant en àmbits interns (equips de treball, reunions...) com externs (pre"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Conducció efectiva de reunions",50.00,15.00,1.00,,,,,,"Desenvolupar la capacitat per preparar, analitzar, liderar i avaluar les reunions de treball de forma efectiva."
