Any,Equipament,Indicador,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2023,"Centre Cívic Barceloneta",ActivitatsDeFormacio,232,,,01,"Ciutat Vella",03,"la Barceloneta","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123,2.192300790
2023,"Centre Cívic Barceloneta",InscripcionsActivitatsFormacio,2867,,,01,"Ciutat Vella",03,"la Barceloneta","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123,2.192300790
2023,"Centre Cívic Barceloneta",Metres_quadrats,1431,,,01,"Ciutat Vella",03,"la Barceloneta","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123,2.192300790
2023,"Centre Cívic Baró de Viver",ActivitatsDeFormacio,137,,,09,"Sant Andreu",58,"Baró de Viver","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
2023,"Centre Cívic Baró de Viver",InscripcionsActivitatsFormacio,1875,,,09,"Sant Andreu",58,"Baró de Viver","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
2023,"Centre Cívic Baró de Viver",Metres_quadrats,1535,,,09,"Sant Andreu",58,"Baró de Viver","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
2023,"Centre Cívic Besòs",ActivitatsDeFormacio,160,,,10,"Sant Martí",70,"el Besòs i el Maresme","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868
2023,"Centre Cívic Besòs",InscripcionsActivitatsFormacio,1796,,,10,"Sant Martí",70,"el Besòs i el Maresme","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868
2023,"Centre Cívic Besòs",Metres_quadrats,3858,,,10,"Sant Martí",70,"el Besòs i el Maresme","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868
2023,"Centre Cívic Bon Pastor",ActivitatsDeFormacio,74,,,09,"Sant Andreu",59,"el Bon Pastor","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780211,2.204911796
2023,"Centre Cívic Bon Pastor",InscripcionsActivitatsFormacio,921,,,09,"Sant Andreu",59,"el Bon Pastor","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780211,2.204911796
2023,"Centre Cívic Bon Pastor",Metres_quadrats,1370,,,09,"Sant Andreu",59,"el Bon Pastor","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780211,2.204911796
2023,"Centre Cívic Can Basté",ActivitatsDeFormacio,223,,,08,"Nou Barris",46,"el Turó de la Peira","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
2023,"Centre Cívic Can Basté",InscripcionsActivitatsFormacio,2328,,,08,"Nou Barris",46,"el Turó de la Peira","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
2023,"Centre Cívic Can Basté",Metres_quadrats,1060,,,08,"Nou Barris",46,"el Turó de la Peira","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
2023,"Centre Cívic Can Castelló",ActivitatsDeFormacio,76,,,05,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.140162970
2023,"Centre Cívic Can Castelló",InscripcionsActivitatsFormacio,852,,,05,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.140162970
2023,"Centre Cívic Can Castelló",Metres_quadrats,1200,,,05,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.140162970
2023,"Centre Cívic Can Clariana Cultural",ActivitatsDeFormacio,34,,,09,"Sant Andreu",62,"el Congrés i els Indians","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.4275181,2.178412
2023,"Centre Cívic Can Clariana Cultural",InscripcionsActivitatsFormacio,441,,,09,"Sant Andreu",62,"el Congrés i els Indians","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.4275181,2.178412
2023,"Centre Cívic Can Clariana Cultural",Metres_quadrats,842,,,09,"Sant Andreu",62,"el Congrés i els Indians","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.4275181,2.178412
2023,"Centre Cívic Can Deu",ActivitatsDeFormacio,314,,,04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.132502076
2023,"Centre Cívic Can Deu",InscripcionsActivitatsFormacio,2939,,,04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.132502076
2023,"Centre Cívic Can Deu",Metres_quadrats,803,,,04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.132502076
2023,"Centre Cívic Can Felipa",ActivitatsDeFormacio,180,,,10,"Sant Martí",68,"el Poblenou","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2023,"Centre Cívic Can Felipa",InscripcionsActivitatsFormacio,1758,,,10,"Sant Martí",68,"el Poblenou","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2023,"Centre Cívic Can Felipa",Metres_quadrats,3125,,,10,"Sant Martí",68,"el Poblenou","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
2023,"Centre Cívic Can Verdaguer",ActivitatsDeFormacio,264,,,08,"Nou Barris",45,Porta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2023,"Centre Cívic Can Verdaguer",InscripcionsActivitatsFormacio,2709,,,08,"Nou Barris",45,Porta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2023,"Centre Cívic Can Verdaguer",Metres_quadrats,990,,,08,"Nou Barris",45,Porta,"Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
2023,"Centre Cívic Casa del Rellotge",ActivitatsDeFormacio,92,,,03,Sants-Montjuïc,13,"la Marina de Port","Ajuntament de Barcelona","Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.141389922
