IDENTIFICADOR,FAMÍLIA PROFESSIONAL,ÀREA PROFESSIONAL,NOM DE L'ACCIÓ,NIF_ENTITAT_FORMACIÓ,ENTITAT,CODI_MUNICIPI,NOM_MUNICIPI,CODI_COMARCA,NOM_COMARCA,MODALITAT,TIPUS DE FORMACIÓ,HORES,WEB,CORREU ELECTRÒNIC,TELÈFON
258262,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MP0353_Mòdul de pràctiques professionals no laborals de 'Docència de la formació professional per a l'ocupació',P7590004C,Institut Municipal d'Ocupació Salvador Segui,25120,LLEIDA,33,SEGRIÀ,Presencial,Certificats de Professionalitat,40,https://imolleida.com/detall-formacio/?idFormacio=5377&cercador=1,imo@paeria.cat,973242000
258172,Serveis socioculturals i a la comunitat,Formació i educació,SSCE0110_MP0353_Mòdul de pràctiques professionals no laborals de 'Docència de la formació professional per a l'ocupació',G60374022,JOVIAT,08113,MANRESA,07,BAGES,Presencial,Certificats de Professionalitat,40,www.joviat.cat,fcontinuada@joviat.cat,938726988
251433,Hostaleria i turisme,Restauració,Pastisseria: Postres per a restauració,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
251440,Hostaleria i turisme,Restauració,Ofertes gastronòmiques de formatges,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,16,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
256855,Administració i gestió,Gestió de la informació i comunicació,ADGG0208_UF0323_Aplicacions informàtiques per a presentacions: gràfiques d'informació,B66117797,"P.H.R.O. TRAINING CONSULTANTS & PARTNERS, S.L.",08266,CERDANYOLA DEL VALLÈS,40,VALLÈS OCCIDENTAL,Presencial,,30,phrofessional.com,phrofessional@phrofessional.com,935948990
241672,Agrària,Ramaderia,Benestar animal per a titulars i personal d'explotacions avícoles,B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,,20,laia@lmidiomes.com,laia@lmidiomes.com,605612456
251424,Hostaleria i turisme,Restauració,Cuina de temporada,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
241674,Agrària,Agricultura,Manipulació i aplicació de productes fitosanitaris. Nivell bàsic,B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,"Acreditacions oficials que capaciten per a un lloc de treball, formació regulada per conveni col·lectiu o certificacions de fabricant TIC",25,laia@lmidiomes.com,laia@lmidiomes.com,605612456
258439,Administració i gestió,Gestió de la informació i comunicació,ADGG0408_MF0969_Tècniques administratives bàsiques d'oficina,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Certificats de Professionalitat,150,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957
251429,Hostaleria i turisme,Restauració,Preparacions culinàries a base d'arrossos,A08311342,GRUP CETT,08019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,12,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161
