codicurs,nomcurs,desccursCAT,codiarea,tipuscurs,duradacurs,personesdest,requisits,temari,sortides,titulacio,codimodalitat,nommodalitat,importe,financiacio,datainici,preinscripcio,paraulesclau,nomcentre,codimunicipi,adrecacentre,latitud,longitud,telefon,correu,web,codipostal,codicentre,departament,desccursES,Georeferència
24/CIFOCS_ED-C-2023/719/0189702/013,"Soldadura per arc sota gas protector amb elèctrode consumible, soldeig «MIG/MAG»",Contacteu amb l'entitat,FMC,FO,410,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://serveiocupacio.gencat.cat/web/.content/20_millorar-el-perfil/programes-formatius/es/FMEC0119_p.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,02/12/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189702/013&codi_curso_seleccionado=24/CIFOCS_ED-C-2023/719/0189702/013,,CIFO Vallès,8279,"CT N-150, km 15",41.63159,2.29423,937362910,cifo_valles.soc@gencat.cat,https://serveiocupacio.gencat.cat/cifosabadell,08520,12382,SOC,Contacteu amb l'entitat,
24/ATCC2/712/0189552/006,Cuina i restauració bàsica,Contacteu amb l'entitat,HTR,FO,120,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/HOTR51.pdf,,Certificat d'assistència,Presencial,Presencial,0,Sí,15/05/2025,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189552/006&codi_curso_seleccionado=24/ATCC2/712/0189552/006,,CONSULTORIA INCORPORA,8089,CR Sant Isidre 66,41.281376,1.981161,938029983,raimon@consultoriaincorpora.com,,08860,46233,SOC,Contacteu amb l'entitat,
24/ATCC2/712/0189552/013,Procediments bàsics al servei de sala,Contacteu amb l'entitat,HTR,FO,125,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/HOTR56.pdf,,Certificat d'assistència,Presencial,Presencial,0,Sí,07/01/2025,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189552/013&codi_curso_seleccionado=24/ATCC2/712/0189552/013,,CONSULTORIA INCORPORA,8089,CR Sant Isidre 66,41.281376,1.981161,938029983,raimon@consultoriaincorpora.com,,08860,46233,SOC,Contacteu amb l'entitat,
24/ATCC2/712/0188445/031,Servei de begudes a barra i sala,Contacteu amb l'entitat,HTR,FO,12,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/HOTR17.pdf,,Certificat d'assistència,Presencial,Presencial,0,Sí,20/11/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0188445/031&codi_curso_seleccionado=24/ATCC2/712/0188445/031,,CONSULTORIA INCORPORA,8089,CR Sant Isidre 66,41.281376,1.981161,938029983,raimon@consultoriaincorpora.com,,08860,46233,SOC,Contacteu amb l'entitat,
23/FOAP/680/0184050/151,"Habilitació per a la docència en graus A, B i C del Sistema de Formació Professional",Contacteu amb l'entitat,SCE,FO,340,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/SSCE0110.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,04/09/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0184050/151&codi_curso_seleccionado=23/FOAP/680/0184050/151,,"FEMAREC, SCCL",8019,CR TORRENT DE L'ESTADELLA 46,41.4352,2.203728,932437272,femarec@femarec.cat,http://www.femarec.cat,08030,1945,SOC,Contacteu amb l'entitat,
24/ATCC2/712/0188036/010,Socorrisme en instal·lacions aquàtiques,Contacteu amb l'entitat,AEP,FO,290,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/AFDP0109.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,29/10/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0188036/010&codi_curso_seleccionado=24/ATCC2/712/0188036/010,,BLUE ALFA SAFETY S.L.,43100,CT SANTES CREUS  8,41.175327,1.274066,657369414,administracion@bluesafety.es,,43151,40542,SOC,Contacteu amb l'entitat,
23/FOAP/680/0184359/015,Competències digitals bàsiques,Contacteu amb l'entitat,ICT,FO,60,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/IFCT45.pdf,,Certificat d'assistència,Presencial,Presencial,0,Sí,15/11/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0184359/015&codi_curso_seleccionado=23/FOAP/680/0184359/015,,CENTRO DE FORMACION PROFESIONAL LLEFIA SA,8015,CR SEQUIA 1,41.438133,2.217128,933883298,info@fpllefia.com,http://www.fpllefia.com,08913,1646,SOC,Contacteu amb l'entitat,
24/CIFOCS_SEPE/706/0187307/006,"Programació de Robots industrials, col·laboratius i mòbils",Contacteu amb l'entitat,EEM,FO,400,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,,,Certificat d'assistència,Presencial,Presencial,0,Sí,16/09/2024,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0187307/006&codi_curso_seleccionado=24/CIFOCS_SEPE/706/0187307/006,,CIFO Sant Feliu,8211,CR L¿Hospitalet 3,41.386196,2.041162,936857790,cifo_santfeliu.soc@gencat.cat,https://serveiocupacio.gencat.cat/cifosantfeliu,08980,12387,SOC,Contacteu amb l'entitat,
24/ATCC1/711/0189361/004,Socorrisme en instal·lacions aquàtiques,Contacteu amb l'entitat,AEP,FO,290,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/AFDP0109.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,01/01/2025,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189361/004&codi_curso_seleccionado=24/ATCC1/711/0189361/004,,ALTESPORT 2000 SL,43905,CR VIA ROMA 25,41.08837,1.091557,977380203,ALTESPORT@ALTESPORT.COM,,43850,32839,SOC,Contacteu amb l'entitat,
24/FPOIES_23_24/714/0189742/014,Socorrisme en instal·lacions aquàtiques,Contacteu amb l'entitat,AEP,FO,290,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/AFDP0109.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,0,Sí,27/01/2025,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189742/014&codi_curso_seleccionado=24/FPOIES_23_24/714/0189742/014,,INSTITUT DE VIC,8298,AV AV. SANT BERNAT CALBO 8,41.934673,2.258982,938891878,insvic@xtec.cat,http://www.ivic.cat,08500,3344,SOC,Contacteu amb l'entitat,
