equipament,indicador,valor,notes_dades,notes_equipament,codi_districte,nom_districte,codi_barri,nom_barri,latitud,longitud
Centre Cívic Barceloneta,ActivitatsDeFormacio,232,,,1,Ciutat Vella,3,la Barceloneta,41.380269123,2.19230079
Centre Cívic Barceloneta,InscripcionsActivitatsFormacio,2867,,,1,Ciutat Vella,3,la Barceloneta,41.380269123,2.19230079
Centre Cívic Barceloneta,Metres_quadrats,1431,,,1,Ciutat Vella,3,la Barceloneta,41.380269123,2.19230079
Centre Cívic Baró de Viver,ActivitatsDeFormacio,137,,,9,Sant Andreu,58,Baró de Viver,41.448391924,2.199921143
Centre Cívic Baró de Viver,InscripcionsActivitatsFormacio,1875,,,9,Sant Andreu,58,Baró de Viver,41.448391924,2.199921143
Centre Cívic Baró de Viver,Metres_quadrats,1535,,,9,Sant Andreu,58,Baró de Viver,41.448391924,2.199921143
Centre Cívic Besòs,ActivitatsDeFormacio,160,,,10,Sant Martí,70,el Besòs i el Maresme,41.416306001,2.211478868
Centre Cívic Besòs,InscripcionsActivitatsFormacio,1796,,,10,Sant Martí,70,el Besòs i el Maresme,41.416306001,2.211478868
Centre Cívic Besòs,Metres_quadrats,3858,,,10,Sant Martí,70,el Besòs i el Maresme,41.416306001,2.211478868
Centre Cívic Bon Pastor,ActivitatsDeFormacio,74,,,9,Sant Andreu,59,el Bon Pastor,41.434780211,2.204911796
Centre Cívic Bon Pastor,InscripcionsActivitatsFormacio,921,,,9,Sant Andreu,59,el Bon Pastor,41.434780211,2.204911796
Centre Cívic Bon Pastor,Metres_quadrats,1370,,,9,Sant Andreu,59,el Bon Pastor,41.434780211,2.204911796
Centre Cívic Can Basté,ActivitatsDeFormacio,223,,,8,Nou Barris,46,el Turó de la Peira,41.430458546,2.173212158
Centre Cívic Can Basté,InscripcionsActivitatsFormacio,2328,,,8,Nou Barris,46,el Turó de la Peira,41.430458546,2.173212158
Centre Cívic Can Basté,Metres_quadrats,1060,,,8,Nou Barris,46,el Turó de la Peira,41.430458546,2.173212158
Centre Cívic Can Castelló,ActivitatsDeFormacio,76,,,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,41.399005576,2.14016297
Centre Cívic Can Castelló,InscripcionsActivitatsFormacio,852,,,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,41.399005576,2.14016297
Centre Cívic Can Castelló,Metres_quadrats,1200,,,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,41.399005576,2.14016297
Centre Cívic Can Clariana Cultural,ActivitatsDeFormacio,34,,,9,Sant Andreu,62,el Congrés i els Indians,41.4275181,2.178412
Centre Cívic Can Clariana Cultural,InscripcionsActivitatsFormacio,441,,,9,Sant Andreu,62,el Congrés i els Indians,41.4275181,2.178412
Centre Cívic Can Clariana Cultural,Metres_quadrats,842,,,9,Sant Andreu,62,el Congrés i els Indians,41.4275181,2.178412
Centre Cívic Can Deu,ActivitatsDeFormacio,314,,,4,Les Corts,19,les Corts,41.386760961,2.132502076
Centre Cívic Can Deu,InscripcionsActivitatsFormacio,2939,,,4,Les Corts,19,les Corts,41.386760961,2.132502076
Centre Cívic Can Deu,Metres_quadrats,803,,,4,Les Corts,19,les Corts,41.386760961,2.132502076
Centre Cívic Can Felipa,ActivitatsDeFormacio,180,,,10,Sant Martí,68,el Poblenou,41.404013272,2.201386526
Centre Cívic Can Felipa,InscripcionsActivitatsFormacio,1758,,,10,Sant Martí,68,el Poblenou,41.404013272,2.201386526
Centre Cívic Can Felipa,Metres_quadrats,3125,,,10,Sant Martí,68,el Poblenou,41.404013272,2.201386526
Centre Cívic Can Verdaguer,ActivitatsDeFormacio,264,,,8,Nou Barris,45,Porta,41.433977414,2.179080278
Centre Cívic Can Verdaguer,InscripcionsActivitatsFormacio,2709,,,8,Nou Barris,45,Porta,41.433977414,2.179080278
Centre Cívic Can Verdaguer,Metres_quadrats,990,,,8,Nou Barris,45,Porta,41.433977414,2.179080278
Centre Cívic Casa del Rellotge,ActivitatsDeFormacio,92,,,3,Sants-Montjuïc,13,la Marina de Port,41.357544067,2.141389922
Centre Cívic Casa del Rellotge,InscripcionsActivitatsFormacio,1085,,,3,Sants-Montjuïc,13,la Marina de Port,41.357544067,2.141389922
Centre Cívic Casa del Rellotge,Metres_quadrats,880,,,3,Sants-Montjuïc,13,la Marina de Port,41.357544067,2.141389922
Centre Cívic Casa Groga,ActivitatsDeFormacio,40,,,7,Horta-Guinardó,39,Sant Genís dels Agudells,41.42686342,2.137450112
Centre Cívic Casa Groga,InscripcionsActivitatsFormacio,380,,,7,Horta-Guinardó,39,Sant Genís dels Agudells,41.42686342,2.137450112
Centre Cívic Casa Groga,Metres_quadrats,1152,,,7,Horta-Guinardó,39,Sant Genís dels Agudells,41.42686342,2.137450112
Centre Cívic Casa Orlandai,ActivitatsDeFormacio,110,,,5,Sarrià-Sant Gervasi,23,Sarrià,41.398330273,2.124656447
