familia_professional,area_professional,nom_de_laccio,nif_entitat_formacio,entitat,codi_municipi,nom_municipi,codi_comarca,nom_comarca,modalitat,tipus_de_formacio,hores,web,correu_electronic,telefon,categoria_duracion,tipo_nombre,longitud_nombre,es_certificado,nivell,id_curso,nivel_consolidado,tipus_nivell,categoritzacio_curs
Serveis socioculturals i a la comunitat,Formació i educació,Ssce0110_mp0353_mòdul de pràctiques professionals no laborals de 'docència de la formació professional per a l'ocupació',P7590004C,Institut Municipal d'Ocupació Salvador Segui,25120,LLEIDA,33,SEGRIÀ,Presencial,Certificats de Professionalitat,40,https://imolleida.com/detall-formacio/?idFormacio=5377&cercador=1,imo@paeria.cat,973242000,Media,certificado,120,False,Pràctiques,Ssce0110_mp0353_mòdul de pràctiques professionals no laborals de 'docència de la formació professional per a l'ocupació'_Institut Municipal d'Ocupació Salvador Segui_Presencial_40,Pràctiques,Pràctiques,"{'nivell': 'Pràctiques', 'tipus': 'Pràctiques', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Media'}"
Serveis socioculturals i a la comunitat,Formació i educació,Ssce0110_mp0353_mòdul de pràctiques professionals no laborals de 'docència de la formació professional per a l'ocupació',G60374022,JOVIAT,8113,MANRESA,7,BAGES,Presencial,Certificats de Professionalitat,40,https://www.joviat.cat,fcontinuada@joviat.cat,938726988,Media,certificado,120,False,Pràctiques,Ssce0110_mp0353_mòdul de pràctiques professionals no laborals de 'docència de la formació professional per a l'ocupació'_JOVIAT_Presencial_40,Pràctiques,Pràctiques,"{'nivell': 'Pràctiques', 'tipus': 'Pràctiques', 'familia': 'Serveis socioculturals i a la comunitat', 'modalitat': 'Presencial', 'hores': 'Media'}"
Hostaleria i turisme,Restauració,Pastisseria: postres per a restauració,A08311342,GRUP CETT,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,20,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161,Corta,otro,38,False,,Pastisseria: postres per a restauració_GRUP CETT_Presencial_20,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Hostaleria i turisme,Restauració,Ofertes gastronòmiques de formatges,A08311342,GRUP CETT,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,16,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161,Corta,otro,35,False,,Ofertes gastronòmiques de formatges_GRUP CETT_Presencial_16,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Administració i gestió,Gestió de la informació i comunicació,ADGG0208_UF0323_Aplicacions informàtiques per a presentacions: gràfiques d'informació,B66117797,"P.H.R.O. TRAINING CONSULTANTS & PARTNERS, S.L.",8266,CERDANYOLA DEL VALLÈS,40,VALLÈS OCCIDENTAL,Presencial,Certificats de Professionalitat,30,https://phrofessional.com,phrofessional@phrofessional.com,935948990,Media,certificado,85,True,Bàsic,"ADGG0208_UF0323_Aplicacions informàtiques per a presentacions: gràfiques d'informació_P.H.R.O. TRAINING CONSULTANTS & PARTNERS, S.L._Presencial_30",Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Administració i gestió', 'modalitat': 'Presencial', 'hores': 'Media'}"
Agrària,Ramaderia,Benestar animal per a titulars i personal d'explotacions avícoles,B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,Altra Formació Professionalitzadora,20,https://laia@lmidiomes.com,laia@lmidiomes.com,605612456,Corta,otro,65,False,,Benestar animal per a titulars i personal d'explotacions avícoles_LM IDIOMES LLEIDA SL_Presencial_20,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Agrària', 'modalitat': 'Presencial', 'hores': 'Corta'}"
Hostaleria i turisme,Restauració,Cuina de temporada,A08311342,GRUP CETT,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,30,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161,Media,otro,18,False,,Cuina de temporada_GRUP CETT_Presencial_30,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Media'}"
Agrària,Agricultura,Manipulació i aplicació de productes fitosanitaris. nivell bàsic,B25783671,LM IDIOMES LLEIDA SL,25120,LLEIDA,33,SEGRIÀ,Presencial,"Acreditacions oficials que capaciten per a un lloc de treball, formació regulada per conveni col·lectiu o certificacions de fabricant TIC",25,https://laia@lmidiomes.com,laia@lmidiomes.com,605612456,Media,otro,64,False,Bàsic,Manipulació i aplicació de productes fitosanitaris. nivell bàsic_LM IDIOMES LLEIDA SL_Presencial_25,Bàsic,General,"{'nivell': 'Bàsic', 'tipus': 'General', 'familia': 'Agrària', 'modalitat': 'Presencial', 'hores': 'Media'}"
Administració i gestió,Gestió de la informació i comunicació,ADGG0408_MF0969_Tècniques administratives bàsiques d'oficina,B36338051,FEMXA FORMACIÓN,17079,GIRONA,20,GIRONÈS,Teleformació,Certificats de Professionalitat,150,https://www.cursosfemxa.es/cursos-online-gratuitos-trabajadores-autonomos-catalunya-catalan,atencionalumno@femxa.com,900100957,Extensa,certificado,60,True,,ADGG0408_MF0969_Tècniques administratives bàsiques d'oficina_FEMXA FORMACIÓN_Teleformació_150,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Administració i gestió', 'modalitat': 'Teleformació', 'hores': 'Extensa'}"
Hostaleria i turisme,Restauració,Preparacions culinàries a base d'arrossos,A08311342,GRUP CETT,8019,BARCELONA,13,BARCELONÈS,Presencial,Altra Formació Professionalitzadora,12,https://www.cett.es/es/oferta-academica/por-nivel-de-estudios/formacion-subvencionada,careerservices@cett.cat,673775161,Corta,otro,41,False,,Preparacions culinàries a base d'arrossos_GRUP CETT_Presencial_12,Sense nivell,Sense classificar,"{'nivell': 'Sense nivell', 'tipus': 'Sense classificar', 'familia': 'Hostaleria i turisme', 'modalitat': 'Presencial', 'hores': 'Corta'}"
