nomcurs,desccurscat,codiarea,duradacurs,personesdest,requisits,temari,sortides,titulacio,codimodalitat,nommodalitat,financiacio,datainici,preinscripcio,nomcentre,codimunicipi,adrecacentre,latitud,longitud,telefon,correu,web,codipostal,codicentre,departament,desccurses,mes
"Soldadura per arc sota gas protector amb elèctrode consumible, soldeig «MIG/MAG»",Contacteu amb l'entitat,FMC,410.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://serveiocupacio.gencat.cat/web/.content/20_millorar-el-perfil/programes-formatius/es/FMEC0119_p.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,Sí,2024-12-02,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189702/013&codi_curso_seleccionado=24/CIFOCS_ED-C-2023/719/0189702/013,CIFO Vallès,08279,"CT N-150, km 15",41.63159,2.29423,937362910,cifo_valles.soc@gencat.cat,https://serveiocupacio.gencat.cat/cifosabadell,08520,12382.0,SOC,Contacteu amb l'entitat,12.0
Cuina i restauració bàsica,Contacteu amb l'entitat,HTR,120.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/HOTR51.pdf,,Certificat d'assistència,Presencial,Presencial,Sí,2025-05-15,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189552/006&codi_curso_seleccionado=24/ATCC2/712/0189552/006,CONSULTORIA INCORPORA,08089,CR Sant Isidre 66,41.281376,1.981161,938029983,raimon@consultoriaincorpora.com,,08860,46233.0,SOC,Contacteu amb l'entitat,5.0
Procediments bàsics al servei de sala,Contacteu amb l'entitat,HTR,125.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/HOTR56.pdf,,Certificat d'assistència,Presencial,Presencial,Sí,2025-01-07,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189552/013&codi_curso_seleccionado=24/ATCC2/712/0189552/013,CONSULTORIA INCORPORA,08089,CR Sant Isidre 66,41.281376,1.981161,938029983,raimon@consultoriaincorpora.com,,08860,46233.0,SOC,Contacteu amb l'entitat,1.0
Servei de begudes a barra i sala,Contacteu amb l'entitat,HTR,12.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/HOTR17.pdf,,Certificat d'assistència,Presencial,Presencial,Sí,2024-11-20,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0188445/031&codi_curso_seleccionado=24/ATCC2/712/0188445/031,CONSULTORIA INCORPORA,08089,CR Sant Isidre 66,41.281376,1.981161,938029983,raimon@consultoriaincorpora.com,,08860,46233.0,SOC,Contacteu amb l'entitat,11.0
"Habilitació per a la docència en graus A, B i C del Sistema de Formació Professional",Contacteu amb l'entitat,SCE,340.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/SSCE0110.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,Sí,2024-09-04,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0184050/151&codi_curso_seleccionado=23/FOAP/680/0184050/151,"FEMAREC, SCCL",08019,CR TORRENT DE L'ESTADELLA 46,41.4352,2.203728,932437272,femarec@femarec.cat,http://www.femarec.cat,08030,1945.0,SOC,Contacteu amb l'entitat,9.0
Socorrisme en instal·lacions aquàtiques,Contacteu amb l'entitat,AEP,290.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/AFDP0109.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,Sí,2024-10-29,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0188036/010&codi_curso_seleccionado=24/ATCC2/712/0188036/010,BLUE ALFA SAFETY S.L.,43100,CT SANTES CREUS  8,41.175327,1.274066,657369414,administracion@bluesafety.es,,43151,40542.0,SOC,Contacteu amb l'entitat,10.0
Competències digitals bàsiques,Contacteu amb l'entitat,ICT,60.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/IFCT45.pdf,,Certificat d'assistència,Presencial,Presencial,Sí,2024-11-15,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0184359/015&codi_curso_seleccionado=23/FOAP/680/0184359/015,CENTRO DE FORMACION PROFESIONAL LLEFIA SA,08015,CR SEQUIA 1,41.438133,2.217128,933883298,info@fpllefia.com,http://www.fpllefia.com,08913,1646.0,SOC,Contacteu amb l'entitat,11.0
"Programació de Robots industrials, col·laboratius i mòbils",Contacteu amb l'entitat,EEM,400.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,,,Certificat d'assistència,Presencial,Presencial,Sí,2024-09-16,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0187307/006&codi_curso_seleccionado=24/CIFOCS_SEPE/706/0187307/006,CIFO Sant Feliu,08211,CR L¿Hospitalet 3,41.386196,2.041162,936857790,cifo_santfeliu.soc@gencat.cat,https://serveiocupacio.gencat.cat/cifosantfeliu,08980,12387.0,SOC,Contacteu amb l'entitat,9.0
Socorrisme en instal·lacions aquàtiques,Contacteu amb l'entitat,AEP,290.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/AFDP0109.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,Sí,2025-01-01,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189361/004&codi_curso_seleccionado=24/ATCC1/711/0189361/004,ALTESPORT 2000 SL,43905,CR VIA ROMA 25,41.08837,1.091557,977380203,ALTESPORT@ALTESPORT.COM,,43850,32839.0,SOC,Contacteu amb l'entitat,1.0
Socorrisme en instal·lacions aquàtiques,Contacteu amb l'entitat,AEP,290.0,Demandant d'ocupació no ocupat,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/certificats-professionals/,https://sede.sepe.gob.es/es/portaltrabaja/resources/pdf/especialidades/AFDP0109.pdf,,Certificat de Professionalitat/Acreditació parcial acumulable,Presencial,Presencial,Sí,2025-01-27,https://serveiocupacio.gencat.cat/ca/persones/vull-formar-me/cercadors-formacio-especialitats/cercador-integrat/fitxa-curs.html?nomCurso=/0189742/014&codi_curso_seleccionado=24/FPOIES_23_24/714/0189742/014,INSTITUT DE VIC,08298,AV AV. SANT BERNAT CALBO 8,41.934673,2.258982,938891878,insvic@xtec.cat,http://www.ivic.cat,08500,3344.0,SOC,Contacteu amb l'entitat,1.0
