name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_main_address,addresses_type,values_value,values_outstanding,secondary_filters_name,secondary_filters_tree,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date,año_creacion,mes_creacion,dia_semana_creacion,categoria_centro,periodo_creacion,numero_direccion,categoria_direccion,decada,antiguedad,categoria_antiguedad,numero_direccion_cat,coordenadas_validas,datos_validos
Institut Fort Pius,2002-05-09 08:29:32+00:00,2023-02-02 12:46:39.010318+00:00,,,28305,C Ausiàs Marc,78,5,el Fort Pienc,2,Eixample,8013,True,,932316013,True,Educació secundària,651,431433.0122798908,4582860.628483669,41.39435850748892,2.179807258323757,,,,2002,5,Thursday,Educación Secundaria y FP,2000s,78,Medio,2000,22,Consolidado,Normal,True,True
Facultat de Filosofia - UB,1988-04-10 22:00:00+00:00,2024-05-24 09:48:18.282971+00:00,,,216906,C Montalegre,6,1,el Raval,1,Ciutat Vella,8001,True,,934037722,True,Universitats,651,430379.0357577841,4581724.135357528,41.38403193047776,2.167331566974877,,,,1988,4,Sunday,Educación Superior,1980s,6,Bajo,1980,36,Histórico,Bajo,True,True
Facultat de Química - UB,1988-04-11 22:00:00+00:00,2024-05-31 10:43:19.248372+00:00,,,7258,Carrer de Martí i Franquès,1,20,la Maternitat i Sant Ramon,4,Les Corts,8028,True,,934 021 200,True,Universitats,651,426247.273,4581879.573,41.38506372270051,2.1179021240670406,,,,1988,4,Monday,Educación Superior,1980s,1,Bajo,1980,36,Histórico,Bajo,True,True
Facultat de Dret - UB,1988-04-10 22:00:00+00:00,2024-05-24 10:24:16.245438+00:00,,,144601,Av Diagonal,684,21,Pedralbes,4,Les Corts,8034,True,,934 020 127,True,Universitats,651,426516.8722175164,4582118.434692386,41.38723971871468,2.1210972500110508,,,,1988,4,Sunday,Educación Superior,1980s,684,Muy alto,1980,36,Histórico,Muy Alto,True,True
Centre Educatiu FEP L'Esperança,1996-09-17 22:00:00+00:00,2023-10-03 08:41:33.917539+00:00,,,273003,C Quito,25,58,Baró de Viver,9,Sant Andreu,8030,True,,933457745,True,Ensenyament infantil (3-6 anys),651,433271.9872579461,4588664.5252803285,41.44678716758727,2.2011624839908794,,,,1996,9,Tuesday,Educación Infantil,1990s,25,Bajo,1990,28,Consolidado,Normal,True,True
Centre Educatiu FEP L'Esperança,1996-09-17 22:00:00+00:00,2023-10-03 08:41:33.917539+00:00,,,273003,C Quito,25,58,Baró de Viver,9,Sant Andreu,8030,True,,933457745,True,Educació primària,651,433271.9872579461,4588664.5252803285,41.44678716758727,2.2011624839908794,,,,1996,9,Tuesday,Educación Primaria,1990s,25,Bajo,1990,28,Consolidado,Normal,True,True
Centre Educatiu FEP L'Esperança,1996-09-17 22:00:00+00:00,2023-10-03 08:41:33.917539+00:00,,,273003,C Quito,25,58,Baró de Viver,9,Sant Andreu,8030,True,,933457745,True,Educació secundària,651,433271.9872579461,4588664.5252803285,41.44678716758727,2.2011624839908794,,,,1996,9,Tuesday,Educación Secundaria y FP,1990s,25,Bajo,1990,28,Consolidado,Normal,True,True
Centre Educatiu FEP L'Esperança,1996-09-17 22:00:00+00:00,2023-10-03 08:41:33.917539+00:00,,,273003,C Quito,25,58,Baró de Viver,9,Sant Andreu,8030,True,,933457745,True,Formació professional,651,433271.9872579461,4588664.5252803285,41.44678716758727,2.2011624839908794,,,,1996,9,Tuesday,Educación Secundaria y FP,1990s,25,Bajo,1990,28,Consolidado,Normal,True,True
Centre Educatiu Montseny-Poblenou,1996-09-17 22:00:00+00:00,2023-10-03 08:41:33.850574+00:00,,,242906,C Pallars,410,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,8019,True,,933072857,True,Ensenyament infantil (3-6 anys),651,434018.07680787146,4584644.306601465,41.41063990102234,2.21053229696309,,,,1996,9,Tuesday,Educación Infantil,1990s,410,Muy alto,1990,28,Consolidado,Muy Alto,True,True
Centre Educatiu Montseny-Poblenou,1996-09-17 22:00:00+00:00,2023-10-03 08:41:33.850574+00:00,,,242906,C Pallars,410,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,8019,True,,933072857,True,Educació primària,651,434018.07680787146,4584644.306601465,41.41063990102234,2.21053229696309,,,,1996,9,Tuesday,Educación Primaria,1990s,410,Muy alto,1990,28,Consolidado,Muy Alto,True,True
Centre Educatiu Montseny-Poblenou,1996-09-17 22:00:00+00:00,2023-10-03 08:41:33.850574+00:00,,,242906,C Pallars,410,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,8019,True,,933072857,True,Educació secundària,651,434018.07680787146,4584644.306601465,41.41063990102234,2.21053229696309,,,,1996,9,Tuesday,Educación Secundaria y FP,1990s,410,Muy alto,1990,28,Consolidado,Muy Alto,True,True
Escola Superior d'Administració i Direcció d'Empreses - URL,1987-10-06 23:00:00+00:00,2024-05-27 08:34:36.698784+00:00,,,359200,Av Pedralbes,60,21,Pedralbes,4,Les Corts,8034,True,,932806162,True,Universitats,651,425972.6963469717,4582845.855476461,41.39374137478776,2.11450041725389,,,,1987,10,Tuesday,Educación Superior,1980s,60,Medio,1980,37,Histórico,Normal,True,True
SAE Centre privat d'estudis artístics superiors de Música,2010-11-12 13:15:42+00:00,2021-12-14 10:53:02.970342+00:00,,,253902,Carrer del Perú,176,71,Provençals del Poblenou,10,Sant Martí,8020,True,,932387258,True,Música,651,433241.7793137294,4584817.3447619965,41.41213430348236,2.201225737692777,,,,2010,11,Friday,Otros,2000s,176,Alto,2010,14,Establecido,Alto,True,True
Centre Educatiu Cintra,1998-09-28 22:00:00+00:00,2023-05-24 10:28:53.349782+00:00,,,282605,C Riereta,21,1,el Raval,1,Ciutat Vella,8001,True,,934426654,True,Educació secundària,651,430473.7229729715,4581067.543785404,41.37812640198185,2.168539245437845,,,,1998,9,Monday,Educación Secundaria y FP,1990s,21,Bajo,1990,26,Consolidado,Normal,True,True
Centre Educatiu Thuya,1997-11-10 23:00:00+00:00,2022-09-17 03:35:08.558317+00:00,,,302203,Sant Gervasi de Cassoles,68,25,Sant Gervasi - la Bonanova,5,Sarrià-Sant Gervasi,8022,True,,932127412,True,Adults,651,427852.2307999968,4584159.211072672,41.40574103739798,2.136824035870799,,,,1997,11,Monday,Otros,1990s,68,Medio,1990,27,Consolidado,Normal,True,True
